???-r^s???q??????mr^s???q???

/Gem Systems GSM-19W 9088378 v7.0 23 VI 2022 M ew3ft~v7o 
/ID 1 file 63      .b   25 IV 26
/datum  32000.00
/ 008.1350146  -002.5929778 
/UTC
/30P
/00D809A6 8919
/GPS version 2018/Aug/24
/50Hz AC filter
/12.9V
/tune initialize N auto-tune N 032.7uT
/028800bps
/time nT sq 
140701.0  32561.59 99 
140701.5  32560.97 99 
140702.0  32561.27 99 
140702.5  32561.27 99 
140703.0  32560.75 99 
140703.5  32560.87 99 
140704.0  32561.62 99 
140704.5  32561.12 99 
140705.0  32561.32 99 
140705.5  32561.20 99 
140706.0  32561.13 99 
140706.5  32560.96 99 
140707.0  32561.13 99 
140707.5  32561.58 99 
140708.0  32561.51 99 
140708.5  32561.27 99 
140709.0  32560.58 99 
140709.5  32561.54 99 
140710.0  32561.31 99 
140710.5  32560.82 99 
140711.0  32561.24 99 
140711.5  32561.54 99 
140712.0  32561.67 99 
140712.5  32561.41 99 
140713.0  32561.28 99 
140713.5  32561.54 99 
140714.0  32561.34 99 
140714.5  32561.75 99 
140715.0  32561.28 99 
140715.5  32560.96 99 
140716.0  32561.43 99 
140716.5  32561.29 99 
140717.0  32561.87 99 
140717.5  32560.53 99 
140718.0  32561.12 99 
140718.5  32561.07 99 
140719.0  32561.39 99 
140719.5  32560.80 99 
140720.0  32561.42 99 
140720.5  32560.94 99 
140721.0  32561.82 99 
140721.5  32561.09 99 
140722.0  32561.57 99 
140722.5  32561.14 99 
140723.0  32560.89 99 
140723.5  32561.49 99 
140724.0  32561.41 99 
140724.5  32561.05 99 
140725.0  32561.57 99 
140725.5  32561.31 99 
140726.0  32560.83 99 
140726.5  32561.27 99 
140727.0  32560.94 99 
140727.5  32561.18 99 
140728.0  32561.71 99 
140728.5  32561.69 99 
140729.0  32561.34 99 
140729.5  32561.47 99 
140730.0  32561.03 99 
140730.5  32561.32 99 
140731.0  32561.19 99 
140731.5  32561.36 99 
140732.0  32561.04 99 
140732.5  32561.88 99 
140733.0  32561.26 99 
140733.5  32560.98 99 
140734.0  32560.79 99 
140734.5  32561.45 99 
140735.0  32560.90 99 
140735.5  32560.97 99 
140736.0  32560.81 99 
140736.5  32561.41 99 
140737.0  32561.37 99 
140737.5  32560.79 99 
140738.0  32560.84 99 
140738.5  32560.97 99 
140739.0  32561.06 99 
140739.5  32561.25 99 
140740.0  32561.13 99 
140740.5  32561.27 99 
140741.0  32561.61 99 
140741.5  32561.58 99 
140742.0  32561.40 99 
140742.5  32561.18 99 
140743.0  32561.18 99 
140743.5  32560.89 99 
140744.0  32561.45 99 
140744.5  32560.85 99 
140745.0  32561.31 99 
140745.5  32561.16 99 
140746.0  32561.28 99 
140746.5  32561.06 99 
140747.0  32560.83 99 
140747.5  32561.65 99 
140748.0  32561.25 99 
140748.5  32560.58 99 
140749.0  32561.62 99 
140749.5  32561.28 99 
140750.0  32561.25 99 
140750.5  32561.60 99 
140751.0  32561.38 99 
140751.5  32560.91 99 
140752.0  32561.71 99 
140752.5  32561.12 99 
